title,year,length,worldwide_revenue,domestic_revenue,domestic_percent,foreign_revenue,foreign_percent,number_ratings,average_rating,genres
The Favourite,2018,120,95.92,34.37,0.36,61.55,0.64,718578,4.0,"Thriller, Drama, Comedy"
Truth or Dare,2018,101,95.33,41.41,0.43,53.92,0.57,143054,1.9,"Horror, Thriller, The Undead And Monster Classics"
Kill Mobile,2018,96,94.87,0.0,0.0,94.87,1.0,217,3.0,"Comedy, Drama"
I Feel Pretty,2018,110,94.54,48.8,0.52,45.74,0.48,61671,2.4,"Romance, Comedy, Crude Humor And Satire"
Blockers,2018,102,94.02,60.31,0.64,33.71,0.36,125792,3.0,"Comedy, Crude Humor And Satire, Underdogs And Coming Of Age"
BlacKkKlansman,2018,136,93.4,49.28,0.53,44.13,0.47,835688,3.9,"Drama, Comedy, Crime"
Goosebumps 2: Haunted Halloween,2018,90,93.32,46.7,0.5,46.62,0.5,36590,2.3,"Horror, Comedy, Fantasy"
Shadow,2018,116,91.71,0.52,0.01,91.19,0.99,26633,3.6,"Action, War, Epic Heroes"
Overboard,2018,112,91.24,50.32,0.55,40.93,0.45,21504,2.5,"Comedy, Romance, Relationship Comedy"
Sherlock Gnomes,2018,86,90.5,43.24,0.48,47.25,0.52,28043,2.2,"Comedy, Mystery, Adventure"
